Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases
North America,North America,,"131,889,132",,"1,695,941",,"127,665,129",+350,"2,528,062"
Asia,Asia,,"221,500,265",,"1,553,662",,"205,673,091",,"14,273,512"
Europe,Europe,,"253,406,198",,"2,101,824",,"248,754,104",+474,"2,550,270"
South America,South America,,"70,200,879",,"1,367,332",,"66,683,585",,"2,149,962"
Oceania,Australia/Oceania,,"14,895,771",,"33,015",,"14,752,388",,"110,368"
Africa,Africa,,"12,860,924",,"258,892",,"12,090,808",,"511,224"
,,,721,,15,,706,,0
World,All,,"704,753,890",0,"7,010,681",0,"675,619,811",+790,"22,123,398"
USA,North America,"334,805,269","111,820,082",,"1,219,487",,"109,814,428",,"786,167"
India,Asia,"1,406,631,776","45,035,393",,"533,570",,N/A,N/A,N/A
France,Europe,"65,584,518","40,138,560",,"167,642",,"39,970,918",,0
Germany,Europe,"83,883,596","38,828,995",,"183,027",,"38,240,600",,"405,368"
Brazil,South America,"215,353,593","38,743,918",,"711,380",,"36,249,161",,"1,783,377"
S. Korea,Asia,"51,329,899","34,571,873",,"35,934",,"34,535,939",,0
Japan,Asia,"125,584,838","33,803,572",,"74,694",,N/A,N/A,N/A
Italy,Europe,"60,262,770","26,723,249",,"196,487",,"26,361,218",,"165,544"
UK,Europe,"68,497,907","24,910,387",,"232,112",,"24,678,275",,0
Russia,Europe,"145,805,947","24,124,215",,"402,756",,"23,545,818",,"175,641"
Turkey,Asia,"85,561,976","17,232,066",,"102,174",,N/A,N/A,N/A
Spain,Europe,"46,719,142","13,914,811",,"121,760",,"13,762,417",,"30,634"
Australia,Australia/Oceania,"26,068,792","11,853,144",,"24,414",,"11,820,014",,"8,716"
Vietnam,Asia,"98,953,541","11,625,195",,"43,206",,"10,640,971",,"941,018"
Taiwan,Asia,"23,888,595","10,241,523",,"19,005",,"10,222,518",,0
Argentina,South America,"46,010,234","10,128,845",,"130,841",,"9,997,258",,746
Netherlands,Europe,"17,211,447","8,635,786",,"22,992",,"8,612,599",,195
Mexico,North America,"131,562,772","7,702,809",,"334,958",,"6,899,865",,"467,986"
Iran,Asia,"86,022,837","7,627,186",,"146,811",,N/A,N/A,N/A
Indonesia,Asia,"279,134,505","6,829,221",,"162,063",,"6,647,104",,"20,054"
Poland,Europe,"37,739,785","6,661,991",,"120,598",,N/A,N/A,N/A
Colombia,South America,"51,512,762","6,400,173",,"143,200",,"6,212,152",,"44,821"
Greece,Europe,"10,316,637","6,101,379",,"37,869",,N/A,N/A,N/A
Austria,Europe,"9,066,710","6,081,287",,"22,542",,"6,054,934",,"3,811"
Portugal,Europe,"10,140,570","5,643,062",,"28,126",,"5,614,809",,127
Ukraine,Europe,"43,192,122","5,557,995",,"112,418",,"5,445,577",,0
Chile,South America,"19,250,195","5,384,853",,"64,497",,"5,252,450",,"67,906"
Malaysia,Asia,"33,181,072","5,278,406",,"37,348",,"5,233,268",,"7,790"
Canada,North America,"38,388,419","4,946,090",,"59,034",,"4,881,312",+350,"5,744"
Belgium,Europe,"11,668,278","4,861,695",,"34,376",,"4,826,798",+50,521
Israel,Asia,"9,326,000","4,841,772",,"12,707",,"4,798,473",,"30,592"
DPRK,Asia,"25,990,679","4,772,813",,74,,"4,772,739",,0
Thailand,Asia,"70,078,203","4,770,149",,"34,586",,"4,692,636",,"42,927"
Czechia,Europe,"10,736,784","4,759,041",,"43,517",,"4,715,206",,318
Peru,South America,"33,684,208","4,572,667",,"222,161",,"4,350,506",,0
Switzerland,Europe,"8,773,637","4,453,053",,"14,452",,"4,438,309",,292
Philippines,Asia,"112,508,994","4,140,383",,"66,864",,"4,067,381",,"6,138"
South Africa,Africa,"60,756,135","4,076,463",,"102,595",,"3,912,506",,"61,362"
Romania,Europe,"19,031,335","3,529,735",,"68,929",,"3,460,149",+390,657
Denmark,Europe,"5,834,950","3,183,756",,"8,814",,"3,174,942",,0
Singapore,Asia,"5,943,546","3,006,155",,"2,024",,"3,004,131",,0
Hong Kong,Asia,"7,604,299","2,937,609",,"14,924",,"2,916,005",,"6,680"
Sweden,Europe,"10,218,971","2,754,129",,"27,407",,"2,726,492",+20,230
New Zealand,Australia/Oceania,"4,898,203","2,621,111",,"5,697",,"2,613,791",,"1,623"
Serbia,Europe,"8,653,016","2,615,054",,"18,057",,"2,596,608",,389
Iraq,Asia,"42,164,965","2,465,545",,"25,375",,"2,439,497",,673
Hungary,Europe,"9,606,259","2,230,232",,"49,048",,"2,152,155",,"29,029"
Bangladesh,Asia,"167,885,689","2,049,377",,"29,493",,N/A,N/A,N/A
Slovakia,Europe,"5,460,193","1,877,605",,"21,224",,"1,856,381",,0
Georgia,Asia,"3,968,738","1,861,665",,"17,132",,N/A,N/A,N/A
Jordan,Asia,"10,300,869","1,746,997",,"14,122",,"1,731,007",,"1,868"
Ireland,Europe,"5,020,199","1,734,582",,"9,491",,"1,724,921",,170
Pakistan,Asia,"229,488,994","1,581,936",,"30,664",,"1,538,689",,"12,583"
Finland,Europe,"5,554,960","1,516,117",,"11,958",,"1,503,989",+14,170
Norway,Europe,"5,511,370","1,509,732",,"6,638",,"1,503,094",,0
Kazakhstan,Asia,"19,205,043","1,411,831",,"13,848",,"1,383,020",,"14,963"
Lithuania,Europe,"2,661,708","1,397,806",,"9,897",,"1,387,478",,431
Slovenia,Europe,"2,078,034","1,356,546",,"7,100",,"1,349,424",,22
Bulgaria,Europe,"6,844,597","1,339,851",,"38,748",,"1,292,944",,"8,159"
Croatia,Europe,"4,059,286","1,309,728",,"18,687",,"1,258,432",,"32,609"
Guatemala,North America,"18,584,039","1,291,293",,"20,289",,"1,269,891",,"1,113"
Morocco,Africa,"37,772,756","1,278,992",,"16,303",,N/A,N/A,N/A
Lebanon,Asia,"6,684,849","1,243,838",,"10,952",,"1,087,587",,"145,299"
Costa Rica,North America,"5,182,354","1,238,883",,"9,428",,N/A,N/A,N/A
Bolivia,South America,"11,992,656","1,212,131",,"22,407",,"1,177,145",,"12,579"
Tunisia,Africa,"12,046,656","1,153,361",,"29,423",,N/A,N/A,N/A
Cuba,North America,"11,305,652","1,115,251",,"8,530",,"1,106,660",,61
Ecuador,South America,"18,113,361","1,070,188",,"36,043",,"1,034,145",,0
UAE,Asia,"10,081,785","1,067,030",,"2,349",,N/A,N/A,N/A
Panama,North America,"4,446,964","1,059,893",,"8,727",,"1,051,102",,64
Uruguay,South America,"3,496,016","1,041,111",,"7,664",,"1,030,944",,"2,503"
Mongolia,Asia,"3,378,078","1,011,496",,"2,284",,"1,009,212",,0
Nepal,Asia,"30,225,582","1,003,450",,"12,031",,"991,322",,97
Belarus,Europe,"9,432,800","994,037",,"7,118",,"985,592",,"1,327"
Latvia,Europe,"1,848,837","982,505",,"6,715",,"971,406",,"4,384"
Saudi Arabia,Asia,"35,844,909","841,469",,"9,646",,N/A,N/A,N/A
Paraguay,South America,"7,305,843","837,602",,"20,155",,N/A,N/A,N/A
Azerbaijan,Asia,"10,300,205","835,234",,"10,400",,"824,089",,745
Bahrain,Asia,"1,783,983","729,549",,"1,574",,"727,915",,60
Cyprus,Asia,"1,223,387","681,110",,"1,365",,"679,745",,0
Dominican Republic,North America,"11,056,370","675,890",,"4,384",,"671,316",,190
Sri Lanka,Asia,"21,575,842","672,754",,"16,897",,"655,852",,5
Kuwait,Asia,"4,380,326","667,158",,"2,570",,N/A,N/A,N/A
Myanmar,Asia,"55,227,143","641,873",,"19,495",,"620,159",,"2,219"
